ID,TARGET,TEXT,STANCE
2401,深圳禁摩限电,#深圳禁摩限电#关注了下这个话题，看到好多的评论是普通百姓对于懒政暴权的意见，同时有好多五毛在支持，五毛支持我觉的有可能，可是谁在出钱给五毛？,AGAINST
2402,深圳禁摩限电,建议对快递员的三轮车进行规范管理，而不是一刀切的全禁掉。快递垮掉或者成本增加，经济势必会受到影响，最关键，对百姓生活影响太巨大了。建议多调研吧。 ,AGAINST
2403,深圳禁摩限电,#深圳禁摩限电#啥时候把四个轮子的也禁了，那样就没车祸了！,AGAINST
2404,深圳禁摩限电,现今的热点用成语来形容最妥贴不过了，比如说深圳的禁摩限电……削足适履，更热的债转股……刻舟求剑，老先人先知先觉啊 我在#白银路# |兰州·白银...,AGAINST
2405,深圳禁摩限电,绝大部分网友都没了解禁电摩出发点就开始喷…快递公司的电摩备案后是可以使用电摩送快递的！ ,FAVOR
2406,深圳禁摩限电,典型的懒政！穷人才用电动车！他们需要一个快捷便利低成本的交通工具，你可以去规范，你可以去加强管理，但是你这样做让别人底层的百姓更是愤怒你代表的政府！批准该行动的直管领导你肯定不是穷苦出身，体会不到那种生存味道！而且你的执政能力和你的位置不匹配！,AGAINST
2407,深圳禁摩限电,瞎折腾，瞎指挥，瞎了眼！,AGAINST
2408,深圳禁摩限电,车行如龟， 人行如梭， 限电限行鹏城路， 看特区， 决禁意， 可怜草民争无力， 万辆电摩钱变土， 禁，百姓苦， 限，百姓苦。 @深圳交警,AGAINST
2409,深圳禁摩限电,电商和快递代表的新经济打破了传统以地产开发租赁的旧商业模式，也打破了之前的利益权利分配，中央政府借助新经济发展的契机，通过营改增等手段收回地方政府的财权和事权，地方政府也以禁摩等方式进行反抗，本质上是利益和权利之争。中央以地方的博弈，苦逼了快递哥！ ,NONE
2410,深圳禁摩限电,我看过不了几天就有人要将深圳告上法庭了//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGvKJp,AGAINST
2411,深圳禁摩限电,深圳风光 福田车堵 南山心焦 望北环内外 车流茫茫 银湖上下 汽笛啸啸 路困铁甲 恰似蚂蚁 前方有路无处绕上立交 看南来北往 尚未过桥 交通如此糟糕 引无数英雄竞折腰 叹现代大众 慢如蜗牛 奔驰宝马 无处发飙 一代天骄 兰博基尼 泪看电摩随意超 俱往矣 数风流人物 把车卖掉。 |深圳·深圳...,NONE
2412,深圳禁摩限电,顶着深圳的骂名，北京高调禁电摩，权力就是任性！,AGAINST
2413,深圳禁摩限电,【电动自行车几乎全超标 电动车出行再次引关注】前段时间，在深圳等地进行的堪称史上最严的禁摩限电专项整治行动一直让不少依靠电动车出行的市民心生忌惮，而通过记者调查发现，目前我国市场上的所有电动车几乎全超 http://t.cn/RqJnTdC,NONE
2414,深圳禁摩限电,【深大女生忘拔钥匙 保安贴条画画卖萌】13日，深圳大学一女生在微博上贴出保安为其画的漫画，众网友皆赞保安有心有才，还很萌。她说：“我总是忘记拔电摩钥匙，楼下保安亭保安帮我收了好几次，13日下午又忘了，发现保安贴了两张纸在电摩上。”有网友调侃说这字体……恶ξ意卖萌是犯法的！,
2415,深圳禁摩限电,东莞和深圳的差距：一份肠粉，东莞3块钱，深圳千4块钱（原关外）；一条路上，东莞除了机动车，看不到摩托车（包括电摩），深圳除了汽车、三轮摩托、二轮摩托、电摩、自行车，还有扭扭车，滑板车，只要是车，都在深圳路上跑。还有一种10个轮子的，旱冰鞋，穿在脚上，同样上路。,NONE
2416,深圳禁摩限电,深圳，深圳；你禁摩限电的精神干嘛不转换外来务工就业，今年过了四分之一还有多少人找不到工作得不到生活保障！广东省相关政府你干嘛去了？有没有考虑与关注外来务工人员情况！到了公交与地铁农民最后一站如何解决？ |深圳·坪山...,AGAINST
2417,深圳禁摩限电,挺好的。 支持！谁都不愿意看到拉客电动车横冲直撞。但是请务必做到区别对待，快递是民生。 ,FAVOR
2418,深圳禁摩限电,深圳禁摩背后是路权利益的博弈！这在全国应该只是开始。首先，政府懒政。鉴于大量电摩不规范，给予禁止的理由。其次，政府大力鼓励电动汽车政策。电动汽车150公里的续航，很鸡肋。远不及电摩来的实用，造成冲击。最后，比亚迪在深圳的影响。,AGAINST
2419,深圳禁摩限电,深圳禁摩限电，还不是某些领导的面子工程，他们代表的是一部份人的利益，只要给钱，扶持他们的反对派领导上位就可以了，政治是为经济服务的嘛。 ,AGAINST
2420,深圳禁摩限电,今天下午19:00多开车梅华路上西往东行，KFC送外卖的电动车，从梅中路直接飚到中间车道。我紧急刹车abs抱死轮胎，后车差点追尾。我说那电动车你这么危险骑车不怕撞死你啊？他很嚣张的说你来啊，你来啊……有本事你撞死我啊！！！@深圳交警 @深圳交警机动训练大队 支持禁摩限电 |深圳·梅林...,FAVOR
2421,深圳禁摩限电,不是禁摩限电吗？东滨路交通压力那么大但是摩托车、电动车照样跑也没人管！@深圳交警,FAVOR
2422,深圳禁摩限电,以后，有没有可能机动车上 驾驶电摩 等没有路权的车辆，驾驶者 当酒驾一样。拘留16天？@深圳交警 @广州交警,NONE
2423,深圳禁摩限电,深圳在《关于调整交通综合整治奖励项目及标准的通知》中明确“悬赏”：对无证驾驶、妨碍执法当事人实施行政拘留的，拘留一人奖励500元。政府部门的执法人员已经享有工资待遇，为什么一次正常的出勤执法需要加增这么多执法赏金，『媒体:深圳禁摩限电有法律依据吗_手机新浪网』http://t.cn/RqLakJh,AGAINST
2424,深圳禁摩限电,现在不是全深圳市都在禁摩限电吗，横岗的摩托车电动车电动三轮车载客现象很严重，而且还各种逆行，横冲直撞，为什么横岗没有开展行动？,FAVOR
2425,深圳禁摩限电,载着小孩还冲#禁摩限电# @深圳交警 @深圳宝安交警 |深圳·新安...,FAVOR
2426,深圳禁摩限电,电动货车上路就不占用道路资源了？政府缺乏对于三轮车的明确标准规定和交通规则上的规定，要让老百姓承担后果？这未免也太霸道了。。还是为人民服务的吗？,AGAINST
2427,深圳禁摩限电,深圳禁摩限电，说是为了民众安全，但电动车的死亡率多高？强行推出，是否违反了国家的立法法？深圳交警称电动车违章多禁止电动车那是找借口，过于牵强。9成以上的道路交通事故与汽车有关，汽车为何不禁行，制定这些政策的都是权贵，禁不禁和他们都没关系，谁让这些政府是为人民（币）服务呢？,AGAINST
2428,深圳禁摩限电,#深圳禁摩限电#支持深圳的这次行动，摩托车电动车拉客本身就是违法的，看看东莞的大街小巷多少以电动车拉客为营生的人，还振振有词的说：一没偷二没抢 。,FAVOR
2429,深圳禁摩限电,深圳禁摩限电，引起国人热议，我认为这种做法是深圳市政府工作思路简单化表现，应该规范运行，并不能简单一禁了之，电动车超标应该查生产厂家才对，没有合格证能出厂吗？至于车祸多，难道汽车也有车祸，就不允许汽车跑了？,AGAINST
2430,深圳禁摩限电,#我是歌手#一直以来都很关注，我喜欢美好的声音。这种美好一直都是由 @听果 带给我的，我正在用 @听果 收听 #锵锵三人行 深圳“禁摩限电”# 2016.4.7 嘉宾：许子东 马家辉 @康康去哪儿了,NONE
2431,深圳禁摩限电,支持，被电动车在人行道上撞过 ,FAVOR
2432,深圳禁摩限电,如今，城市的规划、建设和管理，往往是以牺牲弱者的生存生态为代价。弱势群体的生活状态已有恶化趋势。而弱势群体也被这个社会剥离出来，在社会中越来越难找到自己的位置。如以前上海取缔小饭馆、路边食摊，近日深圳的禁摩限电，给弱势群体的生存生活带来不便，更重要的是这些人因此失去了谋生的机会。,AGAINST
2433,深圳禁摩限电,抓人没收车都是表演给上头看的，真正有用的做法还是出个规定规范一下。最近我都不敢买东西了，主要是还没发工资。,AGAINST
2434,深圳禁摩限电,禁摩限电say no@王思妮NINA @政协委员韩志鹏,AGAINST
2435,深圳禁摩限电,自行车下降，但电动车大福上升。坚决支持禁摩限电。。。。 ,FAVOR
2436,深圳禁摩限电,雷声大雨点小！！摩托车电瓶车怎么不抓？？想抓钱吧！！ ,AGAINST
2437,深圳禁摩限电,深圳禁摩限电的信心，估计来自外牌机动车市内限行那次——咋就这么顺利呢，像样的反抗都没有？不过和屌丝掰手腕的麻烦，比中产大多了。不过既然你们决心搞嘛，试试咯。,AGAINST
2438,深圳禁摩限电,西丽珠光路上这三岔路口的红绿灯坏掉了，公交车私车电摩行人过马路完全乱套了，瞅准空档就冲今天一个四五岁的孩子独自过马路，气球掉了又突然返回去捡，差点被公交撞上，把司机师傅和我们一众路边人吓得要死小苹果跳得好，可这些紧要问题还得速速解决才是啊！@深圳交警 |西丽,FAVOR
2439,深圳禁摩限电,西游记里有个国王梦到和尚睡了他的女人，后来把所有和尚杀光了。,AGAINST
2440,深圳禁摩限电,#深圳禁摩限电#政府已经妨碍老百姓正常生活了，要是在民主国家早就下台了,AGAINST
2441,深圳禁摩限电,支持深圳交警，力挺行动力，哪怕有不周全，但是确实是会建设深圳更美好。内些抵触的人您们的格局去哪里了你来告诉我说要靠道德约束电动车不上马路您确定这不是在岛国？我大天朝啥时候素质觉悟，，，诶，都懂得。乱世用重典，不废话，下猛药死不了。做事做人凭良心。反对的有几个是从大局看的。 ,FAVOR
2442,深圳禁摩限电,#深圳禁摩限电#以长年主要以步行+公交为交通主要手段的人来看，电动车和摩托真的对交通影响很大，尤其电动车，总能自如的在机动车道和人行道上自由切换，既能跟着机动车走绿灯，也能跟着斑马线走绿灯，还能窜上人行道自由穿梭。,NONE
2443,深圳禁摩限电,近日全国部分省市又开始禁电禁摩，将老百姓的利益置于脑后。全世界都在关注的中国“禁摩限电”！来瞧瞧世界各国怎么说？,AGAINST
2444,深圳禁摩限电,4月11日，雨，服役了将近5年的电动车终于完成使命，在深圳禁摩限电的运动中成为了牺牲品！而就在昨天就家庭商定，一旦电动车在运动中被收缴就不再取回了！太无奈，生活在最底层的人只能成为被压迫的阶层，即使仅仅为了接送孩子上下学的工具！,AGAINST
2445,深圳禁摩限电,#深圳禁摩限电#为什么要限电，一个油头电动车危险，汽车不危险吗？其实真正原因是为有钱人让路，贫民根本就不应该生活在城市里，现在城市里根本就没有非机动车道，即使有也是有名无实，非机动车道全部都被汽车做停车场了，我们的城市怎么了？难道四个轮子才能救国吗？贫民就应该扫地出城吗？请三思！,AGAINST
2446,深圳禁摩限电,這就是羅湖口岸區域，短短一段路，電摩電三輪逆行衝燈數起@深圳交警,FAVOR
2447,深圳禁摩限电,一个冤案平反昭雪难，铲除腐败更是难上加难，深圳的禁摩限电一点也不含糊，执行起来雷厉风行。过期疫苗，水污染又是无能为力了。,AGAINST
2448,深圳禁摩限电,#限制了电动车，你如何出行# 面对国家的禁摩限电，作为社会基层小民，我们是选择努力抗争，还是改变自己顺应国家政策。每次改革都会牺牲一部分人的既得利益，我们要如何应对？,AGAINST
2449,深圳禁摩限电,#深圳禁摩限电#呵呵，你们咋不蹲在买电动车和买摩托车行门口买一个抓一个呢,AGAINST
2450,深圳禁摩限电,又见中国特色！可笑的是帝都部分街道也限制电瓶车了！为了少部分不守交通规章人的性命而剥夺大部分人的日常生活必须品！这是道理么？到底是领导们想眼...//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGPSED,AGAINST
2451,深圳禁摩限电,#深圳禁摩限电#好事？规范电瓶车的违章行驶是最合理，要不出事儿太大了，人命关天,FAVOR
2452,深圳禁摩限电,#深圳禁摩限电# 针对摩托车和电动自行车交通违法，@深圳光明交警 今天将联合各部门开展行动，注意！下面四类情况一律拘留：1、对无证驾驶摩托车的，一律予以行政拘留。2、对利用电动自行车、电动三轮车兜客揽客实施非法营运的，一律以扰乱公共场所秩序予以行政拘留。3、对违规使用电动（机动）三轮,FAVOR
2453,深圳禁摩限电,"看看查酒驾市民有那么大情绪吗？什么是合法合理？什么是挥舞权力大棒在老百姓心里还是有杆称的。禁摩限电所以会有这么大动静只能说明两件事:1，这个社会穷人占多数，买不起汽车。2,政治先于民生。【扒掉深圳“禁摩限电”的遮羞布】 http://t.cn/RqJei7u（分享自 @一点资讯）",AGAINST
2454,深圳禁摩限电,纯家里自制的电动代步车—Z-Kart通过六个铅酸蓄电池组成，续航里程能够达到 32 公里，最高时速 64 公里。不过我大深圳近期在抓电摩，看来是用不了了。,NONE
2455,深圳禁摩限电,亲身体会深圳禁摩限电后给周边带来各种冲击，直逼部分特殊行业发展。1.外卖行业：近期网上外卖送餐店铺已很多缩小范围，甚至加收配送费，且配送慢而效率低；2.快递行业：多数已提价，甚至出现囤仓。前几天因友人赠送一植物快递后显示已揽件到达xx点，却两天没动静。便直接致电投诉，客服便称因深圳禁摩,AGAINST
2456,深圳禁摩限电,我国的产能过剩跟资本主义国家产能过剩根本区别，傻傻不懂，有点像天书。http://t.cn/Rq92ur3,NONE
2457,深圳禁摩限电,#深圳禁摩限电#怎么说，感觉不太好，如果这样，那么深圳有那么多的农民工怎么办呢？他们买不起车啊，搭公交地铁都要转那么多次，要花的时间也很多啊，个人觉得道路规划很重要。,AGAINST
2458,深圳禁摩限电,近日有网友留言如下，经警叔核实：4月12日8时分许，共乐派出所结合市局统一禁摩限电查扣行动，由民警带队在辖区各路段进行查扣，网友父亲（赵某）骑电动车在西乡地铁站附近被民警拦截下来，当时民警已出示工作证件表明身份是派出所查扣电动车，要求配合工作，赵某不愿意配合，与巡防队员发生争执双方拉,NONE
2459,深圳禁摩限电,#深圳禁摩限电#@深圳交警 只要大家认同了公权力可以肆意而为的权力，只要大家认同了为了所谓正确可以不择手段的做法，大家就得为自己成为这种权力的对象做好准备。而这种权力施加的对象，更多时候是弱者！,AGAINST
2460,深圳禁摩限电,#深圳禁摩限电# 广州也是，过不了多久，将会出现大量自行车行驶在机动车道上，到时自行车交通事故又会直线上升，现在卖电动车的赶紧改行卖高端自行车吧。,AGAINST
2461,深圳禁摩限电,黑龙江省也应当学习深圳，在哈、齐、牡、佳来一场史上最严厉的“禁摩限电”整治行动，这东西交通事故率太高，而且管理混乱！！ — —「深圳禁摩限电 立交桥下成“电单车坟场”-新闻图片库-大视野-搜狐」,FAVOR
2462,深圳禁摩限电,#深圳禁摩限电#主要是人多。强制计划生育，别强制生二胎了哈。,NONE
2463,深圳禁摩限电,许多人不了解深圳，表象上是个最开放的城市最年轻最具活力城市，但实际上骨子里却又是一个极度保守思想迟钝的城市，从这里禁这禁那就可以看到，还有以前有 许多在案逃犯，纵横全国偏在深圳落了网，不要以为深圳和国外差不多是天堂其实是铁幕，保安和协警一样能当警察用。深圳是特区就任性管你洪水滔天！,AGAINST
2464,深圳禁摩限电,简单地禁摩限电限制了公民的自由。宪法赋予了公民自由出行的权利，这是基本一个社会价值取向，在不妨碍社会秩序的情况下，人的个性和自由应该充分地彰显。摩托车电动车的问题是监管不到位，而政府直接采取禁止限制的方式无疑是一种懒政。@北京天则经济研究所 |【李稻葵：...,AGAINST
2465,深圳禁摩限电,"【锐评:快递小哥的诗和远方】郑州板车送货引起围观,深圳禁摩限电又让快递小哥叫苦不堪。如何将摩托车、电动三轮车与汽车一样纳入城市交通管理,从来都是难题。然而,快递小哥不能横冲直撞,当自己是公路之王;对于城市管理与公共决策而言,政策也需对接社会的需求 |没了电三轮...",NONE
2466,深圳禁摩限电,【深圳禁摩限电快递企业现状：待交警下班后再收派】深圳“禁摩限电”后，有快递企业直言，因派件车辆不敢上路派送和接件，日接件量从8万件迅速下降到1万余件，另一些快递企业则表示，待交警下班后才收派快递。http://t.cn/RqLXVmf,AGAINST
2467,深圳禁摩限电,深圳"禁摩限电"不像是改革开放之城的作派,AGAINST
2468,深圳禁摩限电,本来就应该禁，有些人就是觉得你弱你有理，逆道行驶，违规载客，要是遵守交通规则还好说，你能想像台湾人一样守规矩？政策有时候就是不应该被舆论影响,FAVOR
2469,深圳禁摩限电,买四轮被限，买两轮被禁，呵呵，普通人只能自行了断了 ,AGAINST
2470,深圳禁摩限电,生活在江苏好开心，我们穷，道路还算宽，有非机动车道，出行电动车没问题。#深圳禁摩限电#,AGAINST
2471,深圳禁摩限电,以目前电动车在深圳到处载客运营，危险频发的状况，当你见过晚上电动车悄无声息，无尾灯无头灯从身边窜过，看到电动车在快车道上你追我赶并行，逆行，就应该支持交警对非法营运电动车的打击。不过，这种运动式打击能持续多久？长期效果存疑。现在可以说是治标，必须标本兼治。不然最终就是白折腾！ ,FAVOR
2472,深圳禁摩限电,#深圳禁摩限电##深圳交警# 支持禁摩这一行动，摩托车非法营运每年都能酿成几起悲剧，闯红绿灯，不礼让行人，与机动车抢道，比比皆是！交警执法需要温和一点，切勿暴力执法！,FAVOR
2473,深圳禁摩限电,深圳再掀‘’禁摩限电‘’风暴：无疑这场风暴成为了深圳又一特色，城市建设发展布局没有前膽性，中心城市的拥堵，事故，犯罪突显，不是好好去诊治，却将病根推卸到电摩上，简单的做法就是不负责任。如果禁摩限电后依然出现道路拥堵，车祸事故，治案犯罪，电摩的罪状还会成立吗？ |成都·北泉...,AGAINST
2474,深圳禁摩限电,#深圳禁摩限电#怪不得我的京东快题这么慢 |深圳·公明...,NONE
2475,深圳禁摩限电,刚看了窦骁的纪录片《骑行新西兰》然后再看国内，有点绝望。。。。利弊怎样都无所谓了，但是自由呢？,AGAINST
2476,深圳禁摩限电,#深圳禁摩限电#社会需要发展，但我不觉得发展就应该禁摩限电，交通事故的发生需要大家需要时间，最好的措施是加强交通管理，需要交通部门的耐心与加强交通配套措施，而不是牺牲最广大小老百姓的最最简单的出行方式。不过这里是深圳，改革需要试点，让我们等等看看吧。,AGAINST
2477,深圳禁摩限电,我们大深圳不是禁摩吗？请把摩的治理干净好吗？ ,FAVOR
2478,深圳禁摩限电,#禁摩限电#你对深圳禁摩限电怎么看？如果石家庄也这样你支持吗？,NONE
2479,深圳禁摩限电,深圳禁摩限电对准餐饮业:只可自行车送外卖 相信这些规则制定者没吃过外卖，骑自行车送外卖不要说送到还能不能是热的，就只是来回晃好好的饭都会变成折箩。人类的进步就因为当权者不想管理，硬逼着人类要退回原始社会，靠人力运输而不是机器。朱门酒肉臭，路有冻死骨。,AGAINST
2480,深圳禁摩限电,支持深圳市政府禁电摩等非才标车辆整治行动！实际上，购买使用这种非标车辆的单位和个人，是因为这种车辆不需要行驶证、驾驶证，不缴纳叫任何其他费用，正是因为政府管理上的空白才造成了今天的泛滥，所以我最后要说一句，先前你们干嘛去了！,FAVOR
2481,深圳禁摩限电,禁摩限电？也不知道是哪位高官提出来的，你们一天上下班都有专车接送，我们老百姓有什么？我们老百姓买的起的交通工具也就是这俩样。 |密山·裴德...,AGAINST
2482,深圳禁摩限电,#深圳禁摩限电# 有关部门在下决定的时候能不能考虑周全一点，全面禁摩，禁电动车，快递的电动三轮也禁止上路，直到现在半夜了，还在路上查，导致快递员不敢开车上路，快件全部滞留，堆积如山。,NONE
2483,深圳禁摩限电,这就是典型的政府无能，把压力都给百姓来承担，请问政府我们要你们有什么用//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGPSED,AGAINST
2484,深圳禁摩限电,#深圳禁摩限电#不应堵，而应疏。。国内的自行车道什么的都被汽车堵了，全部是汽车道，在不有个空隙就被停车了。。为什么不严格把车道分类好，交通规则制定好，机动车道不得占用非机动车道，自行车摩托电车在自己车道行使驶，汽车在自己车道行驶,AGAINST
2485,深圳禁摩限电,#深圳禁摩限电# 话说 为我逛商场找了个更好的借口,NONE
2486,深圳禁摩限电,禁摩限电需要这种火爆吗？拿不出国家标准，上路没有标准，为何厂商还在大肆生产？谁之过？ |秒拍视频,AGAINST
2487,深圳禁摩限电,强烈支持深圳交警！限制措施出台只要符合大部分人利益就好，不可能让所有人满意！何况有些自私自利的商家根本就不是人！电动车商家勾结段子手写一些颠倒黑白的文章打悲情牌说什么快递员辞职潮，我所在的龙岗快递业根本没有受到影响！,FAVOR
2488,深圳禁摩限电,死喷子们 你们有几个是特么真正从小生活在这个城市的？不了解城市环境就别bb,FAVOR
2489,深圳禁摩限电,#深圳禁摩限电#南山大队禁摩限电整治持续中，严查摩托车，电动车交通各种交通违法，无证驾驶要拘留。,FAVOR
2490,深圳禁摩限电,看来我要少了一批粉丝在地铁门口向我挥手了,NONE
2491,深圳禁摩限电,@深圳交警 你们可以管管福龙路的泥头车吗，乱插队占道，管管这泥头车的电摩小贩吧，逆行占道，难道真等撞死两个你们才会防范于未然吗 |福龙路,FAVOR
2492,深圳禁摩限电,如果小轿车不要牌照，交管也不备案，比电摩还敢逆行，闯红灯就目前的国人素质。//【可笑的深圳禁三轮】 http://t.cn/Rq26fyE,AGAINST
2493,深圳禁摩限电,电动车给老百姓出行带来很大便利，也是发展方向，限制禁止这不合中国国情。,AGAINST
2494,深圳禁摩限电,说好的以人为本呢，有暴力执法才出现的暴力抗法，冤冤相报，循环往复，循环往复，循环往复。 ,AGAINST
2495,深圳禁摩限电,广州的也给全部禁了吧，特别是摩托车，容易出事！,FAVOR
2496,深圳禁摩限电,我不反对民主是有钱人的民主这个说法，毕竟赚得到钱也是一种能力。但中国政府这种漠视社会底层民生的作法已经到了让人发指的程度！  深圳“禁摩限电”真的能一劳永逸吗？ http://t.cn/RqxtmpW （分享自@凤凰新闻客户端）,AGAINST
2497,深圳禁摩限电,【深圳全面封杀电动车】深圳全面禁电禁摩开始了！宝宝们再也开不了自己买的电动车了... 这可苦了上班一族，张先生以前还可以开电动车穿梭在马路大街小巷的，因为公交站点离家太远，现在只能骑车上下班，每天天灰蒙蒙的七点钟就要出发了，伤不起的节奏,AGAINST
2498,深圳禁摩限电,深圳禁摩限电，官府说:1.没有专门给电动车设计的道路。以前还不允许生二胎呢。2.电动车事故多。按官府数据，深圳交通事故死亡率电动车只占10%，另外90%造成交通事故死亡的原因解决了？3.投诉多。全国雾霾还人人骂呢，咋没见人管。民众支持理由主要是电动车不遵守交规。这有坏人是不是把人都抓起来？,AGAINST
2499,深圳禁摩限电,以禁代管，以罚代管。//【深圳禁摩限电对准餐饮业:只可自行车送外卖】 http://t.cn/RqGPSED,AGAINST
2500,深圳禁摩限电,#深圳禁摩限电#摩托车电动车在路上跑确实很不安全，机动车直行他们我的直行，机动车待转他们也待转，这样算是好的，有的根本不等红绿灯还拿他没办法，如果有什么事还是机动车和非机动车发生的事故，机动车全责，而大部分事故是非机动车引起的。,FAVOR
